D1y,Hour,Minute,v1r1(t-9),v1r1(t-8),v1r1(t-7),v1r1(t-6),v1r1(t-5),v1r1(t-4),v1r1(t-3),v1r1(t-2),v1r1(t-1),v1r1(t),target
0,22,30,59,58,59,60,60,60,60,63,61,62,1
0,22,45,58,59,60,60,60,60,63,61,62,63,1
0,23,0,59,60,60,60,60,63,61,62,63,63,1
0,23,15,60,60,60,60,63,61,62,63,63,64,1
0,23,30,60,60,60,63,61,62,63,63,64,64,1
0,23,45,60,60,63,61,62,63,63,64,64,64,1
1,0,0,60,63,61,62,63,63,64,64,64,65,1
1,0,15,63,61,62,63,63,64,64,64,65,65,2
1,0,30,61,62,63,63,64,64,64,65,65,64,1
1,0,45,62,63,63,64,64,64,65,65,64,64,2
1,1,0,63,63,64,64,64,65,65,64,64,59,3
1,1,15,63,64,64,64,65,65,64,64,59,65,3
1,1,30,64,64,64,65,65,64,64,59,65,58,2
1,1,45,64,64,65,65,64,64,59,65,58,39,2
1,2,0,64,65,65,64,64,59,65,58,39,36,2
1,2,15,65,65,64,64,59,65,58,39,36,47,2
1,2,30,65,64,64,59,65,58,39,36,47,41,3
1,2,45,64,64,59,65,58,39,36,47,41,44,2
1,3,0,64,59,65,58,39,36,47,41,44,41,3
1,3,15,59,65,58,39,36,47,41,44,41,33,3
1,3,30,65,58,39,36,47,41,44,41,33,40,2
1,3,45,58,39,36,47,41,44,41,33,40,24,2
1,4,0,39,36,47,41,44,41,33,40,24,28,2
1,4,15,36,47,41,44,41,33,40,24,28,42,1
1,4,30,47,41,44,41,33,40,24,28,42,48,2
1,4,45,41,44,41,33,40,24,28,42,48,50,1
1,5,0,44,41,33,40,24,28,42,48,50,67,1
1,5,15,41,33,40,24,28,42,48,50,67,52,1
1,5,30,33,40,24,28,42,48,50,67,52,74,1
1,5,45,40,24,28,42,48,50,67,52,74,64,1
1,6,0,24,28,42,48,50,67,52,74,64,64,1
1,6,15,28,42,48,50,67,52,74,64,64,64,1
1,6,30,42,48,50,67,52,74,64,64,64,63,1
1,6,45,48,50,67,52,74,64,64,64,63,64,1
1,7,0,50,67,52,74,64,64,64,63,64,63,1
1,7,15,67,52,74,64,64,64,63,64,63,62,1
1,7,30,52,74,64,64,64,63,64,63,62,63,2
1,7,45,74,64,64,64,63,64,63,62,63,60,2
1,8,0,64,64,64,63,64,63,62,63,60,60,2
1,8,15,64,64,63,64,63,62,63,60,60,58,2
1,8,30,64,63,64,63,62,63,60,60,58,59,2
1,8,45,63,64,63,62,63,60,60,58,59,58,2
1,9,0,64,63,62,63,60,60,58,59,58,58,2
1,9,15,63,62,63,60,60,58,59,58,58,58,1
1,9,30,62,63,60,60,58,59,58,58,58,56,2
1,9,45,63,60,60,58,59,58,58,58,56,56,2
1,10,0,60,60,58,59,58,58,58,56,56,60,2
1,10,15,60,58,59,58,58,58,56,56,60,59,2
1,10,30,58,59,58,58,58,56,56,60,59,59,2
1,10,45,59,58,58,58,56,56,60,59,59,59,2
1,11,0,58,58,58,56,56,60,59,59,59,59,2
1,11,15,58,58,56,56,60,59,59,59,59,59,1
1,11,30,58,56,56,60,59,59,59,59,59,57,1
1,11,45,56,56,60,59,59,59,59,59,57,58,2
1,12,0,56,60,59,59,59,59,59,57,58,60,2
1,12,15,60,59,59,59,59,59,57,58,60,62,1
1,12,30,59,59,59,59,59,57,58,60,62,58,1
1,12,45,59,59,59,59,57,58,60,62,58,59,2
1,13,0,59,59,59,57,58,60,62,58,59,62,1
1,13,15,59,59,57,58,60,62,58,59,62,62,1
1,13,30,59,57,58,60,62,58,59,62,62,59,1
1,13,45,57,58,60,62,58,59,62,62,59,60,2
1,14,0,58,60,62,58,59,62,62,59,60,60,1
1,14,15,60,62,58,59,62,62,59,60,60,60,1
1,14,30,62,58,59,62,62,59,60,60,60,59,1
1,14,45,58,59,62,62,59,60,60,60,59,60,2
1,15,0,59,62,62,59,60,60,60,59,60,60,2
1,15,15,62,62,59,60,60,60,59,60,60,61,2
1,15,45,62,59,60,60,60,59,60,60,61,50,2
1,16,0,59,60,60,60,59,60,60,61,50,58,3
1,16,15,60,60,60,59,60,60,61,50,58,58,1
1,16,45,60,60,59,60,60,61,50,58,58,42,2
1,17,0,60,59,60,60,61,50,58,58,42,21,2
1,17,15,59,60,60,61,50,58,58,42,21,60,2
1,17,30,60,60,61,50,58,58,42,21,60,51,2
1,17,45,60,61,50,58,58,42,21,60,51,50,2
1,18,0,61,50,58,58,42,21,60,51,50,54,3
1,18,15,50,58,58,42,21,60,51,50,54,57,2
1,18,30,58,58,42,21,60,51,50,54,57,52,2
1,18,45,58,42,21,60,51,50,54,57,52,25,3
1,19,0,42,21,60,51,50,54,57,52,25,49,2
1,19,15,21,60,51,50,54,57,52,25,49,57,2
1,19,30,60,51,50,54,57,52,25,49,57,39,1
1,19,45,51,50,54,57,52,25,49,57,39,53,2
1,20,0,50,54,57,52,25,49,57,39,53,56,2
1,20,15,54,57,52,25,49,57,39,53,56,60,1
1,20,30,57,52,25,49,57,39,53,56,60,57,2
1,20,45,52,25,49,57,39,53,56,60,57,59,1
1,21,0,25,49,57,39,53,56,60,57,59,60,1
1,21,15,49,57,39,53,56,60,57,59,60,59,1
1,21,30,57,39,53,56,60,57,59,60,59,60,1
1,21,45,39,53,56,60,57,59,60,59,60,60,1
1,22,0,53,56,60,57,59,60,59,60,60,62,1
1,22,15,56,60,57,59,60,59,60,60,62,63,1
1,22,30,60,57,59,60,59,60,60,62,63,62,1
1,22,45,57,59,60,59,60,60,62,63,62,64,1
1,23,0,59,60,59,60,60,62,63,62,64,63,1
1,23,15,60,59,60,60,62,63,62,64,63,61,1
1,23,30,59,60,60,62,63,62,64,63,61,63,1
1,23,45,60,60,62,63,62,64,63,61,63,63,1
2,0,0,60,62,63,62,64,63,61,63,63,66,1
2,0,15,62,63,62,64,63,61,63,63,66,64,2
2,0,30,63,62,64,63,61,63,63,66,64,62,1
2,0,45,62,64,63,61,63,63,66,64,62,60,2
2,1,0,64,63,61,63,63,66,64,62,60,59,3
2,1,15,63,61,63,63,66,64,62,60,59,61,2
